thread_id,tweet_id,customer_message,gold_intent,gold_auto_or_escalate,escalation_reason,acceptable_resolution,retrieval_relevance_flag,groundedness_flag,unsupported_claims_flag,evidence_tier,model_suggested_intent
252801,252801,"@AmazonHelp Hi, logged on to firestick, can I also log on to mobile app at same time? Get this error msg https://t.co/qZE0dIVqQi",digital_devices_technical_support,auto_handle,,"something like ""Confirm simultaneous device login is supported; advise checking device limit or re-signing in if error persists.""",,,,usable,digital_devices_technical_support
26929,26929,"@AmazonHelp Hi, just curious as to why tracking details for my item haven't been updated. Can you help? https://t.co/Ko30E2efuK",delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,partially_usable,delivery_delay_tracking
542087,542087,How can I pass on a compliment about a member of your staff? @115830 @AmazonHelp 🤗,other_miscellaneous_feedback,auto_handle,,Acknowledge feedback; route compliment or general query to appropriate team.,,,,partially_usable,other_miscellaneous_feedback
296765,296765,@AmazonHelp so I ordered something 2 weeks ago paid 56 bucks for prime shipping and I still haven't gotten it???? I want my money back,return_refund_request,escalate,Prolonged unresolved refund - escalate,scalate to human agent for investigation/resolution. Confirm return eligibility; provide return instructions or process refund if already returned.,,,,partially_usable,return_refund_request
487646,487646,"@AmazonHelp greetings, I just started my Amazon/Twitch Prime trial, but the confirmation email was in German (which is weird) and now I can't see my Prime Trial anywhere, as Amazone says I don't have a Prime membership?",prime_membership_billing,auto_handle,,: Review membership status/billing; explain charges or adjust trial/membership as appropriate.,,,,partially_usable,prime_membership_billing
325863,325863,"@AmazonHelp This still hasn't come 2 days after it was supposed to arrive, which was already a push back from last saturday. What's going on https://t.co/Y4zNQW1G6B",delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,usable,delivery_delay_tracking
13189,13189,"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?",damaged_defective_wrong_item,auto_handle,,Apologize: guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,usable,damaged_defective_wrong_item
91486,91486,"@AmazonHelp question, how come your courier failed to gain access to my property in spite of the fact I’m currently sitting in my home and just tested my doorbell. Deliberately waiting for this delivery, not ideal!!!",delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,partially_usable,delivery_delay_tracking
300024,300024,@AmazonHelp Hi! Question: does the newest 2017 Fire TV box (not stick) still support Freetime Unlimited? And the official game controller?,digital_devices_technical_support,auto_handle,,Provide device-specific troubleshooting steps or registration/login help.,,,,usable,digital_devices_technical_support
498510,498510,@AmazonHelp I know you have a returns policy but I am a bit concerned that I had to point out that it wasn't exactly safe to post a broken ceramic item back for a refund! (Didn't want the postie getting injured!),damaged_defective_wrong_item,auto_handle,,Apologize; guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,usable,damaged_defective_wrong_item
376621,376621,Love how multiple DMs and emails and @AmazonHelp still doesn't answer me.,other_miscellaneous_feedback,auto_handle,,,,,,partially_usable,other_miscellaneous_feedback
550474,550474,@115850 it’s been two months i did not received any refund as my product did not deliver. After 100 mails no one bother to solve the problem. My first EMI got deducted. And still cs doesn’t care!! Disappointed @AmazonHelp,missing_stolen_delivery,escalate,complex technical issue / off-policy / unresolvable without human,Confirm delivery status; open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,return_refund_request
324397,324397,@115850 @AmazonHelp Pathetic experience with ur delivery as Order# 406-3337694-5036344 not delivered on time. CSE can't track order,missing_stolen_delivery,escalate,complex technical issue / off-policy / unresolvable without human,Confirm delivery status; open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,missing_stolen_delivery
597973,597973,@115821 @AmazonHelp you guys don't care about your customers i bought a firestick last week with 1 day shipping and i still don't have it.,delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,partially_usable,digital_devices_technical_support
64096,64096,"@AmazonHelp Hi Amazon, I signed up this week and placed an order. Now when I try sign in, it says my email isn't registered? Please help!",account_access_security,auto_handle,,"Guide password reset/2FA; if suspected compromise, secure account and escalate if needed.",,,,partially_usable,account_access_security
522480,522480,@AmazonHelp I am having trouble with my account. Amazon keeps deactivating my password and that I will be able to access my account and change my password in 5 hours. I changed my password and it is not letting me into my account. I have reset my password and it says not valid.,account_access_security,escalate,requires account authentication & private PII lookup,"Guide password reset/2FA; if suspected compromise, secure account and escalate if needed.",,,,partially_usable,account_access_security
489456,489456,@AmazonHelp can you please explain why some presents (ordered for Children) are being delivered with no paper or box and just a delivery label slapped on? Not only has it completely ruined the surprise for my child but also led to some awkward questions about Father Christmas...,other_miscellaneous_feedback,auto_handle,,route compliment or general query to appropriate team.,,,,partially_usable,damaged_defective_wrong_item
239491,239491,"@AmazonHelp yo, where is my package ? it says delivered but i never got my package..",missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,missing_stolen_delivery
